variant,query_id,avg_relevance,ndcg@10,recall@10,recall@50,recall@100,precision@10,n_results,n_scored,n_missing,n_relevant
bm25,160,1.0,1.0,0.043668122270742356,0.2183406113537118,0.2925764192139738,1.0,100,10,2,229
bm25,161,0.55,0.5431403341038608,0.04975124378109453,0.17412935323383086,0.17412935323383086,1.0,100,10,7,201
bm25,162,0.35,0.3568756378946623,0.0018975332068311196,0.012333965844402278,0.01265022137887413,0.6,100,10,1,3162
bm25,163,1.0,1.0,0.10752688172043011,0.5376344086021505,0.7849462365591398,1.0,100,10,1,93
bm25,164,0.5,0.49972820822126385,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.6,100,10,36,180
bm25,165,1.0,1.0,0.05235602094240838,0.16230366492146597,0.16230366492146597,1.0,100,10,15,191
bm25,166,0.85,0.8425772432699812,0.09174311926605505,0.3486238532110092,0.3486238532110092,1.0,100,10,2,109
bm25,167,1.0,1.0,0.11494252873563218,0.5747126436781609,0.8620689655172413,1.0,82,10,0,87
bm25,168,0.5,0.8701249883466592,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,29,8,21,48
bm25,169,0.65,0.5672742199062322,0.072,0.184,0.184,0.9,100,10,8,125
bm25,170,0.9,0.9363792118010481,0.09,0.48,0.8,0.9,100,10,0,100
bm25,171,0.5,1.0,0.10101010101010101,0.26262626262626265,0.26262626262626265,1.0,100,10,6,99
bm25,172,1.0,1.0,0.23809523809523808,1.0,1.0,1.0,44,10,0,42
bm25,173,0.05,0.12245571127502446,0.004901960784313725,0.014705882352941176,0.014705882352941176,0.1,100,10,41,204
bm25,174,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0,7
bm25,175,1.0,1.0,0.033003300330033,0.1617161716171617,0.29042904290429045,1.0,100,10,0,303
bm25,176,1.0,1.0,0.02544529262086514,0.1272264631043257,0.20865139949109415,1.0,100,10,0,393
bm25,177,0.65,0.6374768979314644,0.026525198938992044,0.10610079575596817,0.10610079575596817,1.0,100,10,1,377
bm25,178,0.5,0.41595073172425157,0.1509433962264151,0.9056603773584906,1.0,0.8,100,10,0,53
bm25,179,,,0.0,0.0,0.0,,100,0,100,1
bm25,180,0.95,0.9444742617074797,0.024875621890547265,0.12437810945273632,0.1890547263681592,1.0,100,10,0,402
bm25,181,1.0,1.0,0.08196721311475409,0.4098360655737705,0.7540983606557377,1.0,100,10,0,122
bm25,182,0.95,0.9501243164282663,0.10204081632653061,0.5102040816326531,0.7653061224489796,1.0,100,10,0,98
bm25,183,0.7,0.8683116941554586,0.13513513513513514,0.6756756756756757,0.9054054054054054,1.0,100,10,0,74
bm25,184,0.85,0.7908294428142326,0.05434782608695652,0.2717391304347826,0.4782608695652174,1.0,100,10,0,184
bm25,185,1.0,1.0,0.21739130434782608,0.782608695652174,0.8478260869565217,1.0,100,10,0,46
bm25,186,0.55,0.7295633181410711,0.02617801047120419,0.0968586387434555,0.0968586387434555,1.0,100,10,18,382
bm25,188,0.6,0.5517719991755808,0.05056179775280899,0.11797752808988764,0.11797752808988764,0.9,100,10,10,178
bm25,189,0.7,0.6080353255037227,0.1388888888888889,0.4444444444444444,0.4444444444444444,1.0,100,10,2,72
bm25,190,0.5,0.5214504278492775,0.014064697609001406,0.07032348804500703,0.13924050632911392,1.0,100,10,0,711
bm25,191,0.5,1.0,0.04608294930875576,0.2304147465437788,0.3317972350230415,1.0,100,10,0,217
bm25,193,0.5,1.0,0.03597122302158273,0.17985611510791366,0.29136690647482016,1.0,100,10,0,278
bm25,194,0.45,0.7799082337019199,0.10112359550561797,0.2808988764044944,0.2808988764044944,0.9,100,10,8,89
bm25,195,0.55,0.7883624928840887,0.09803921568627451,0.43137254901960786,0.5196078431372549,1.0,100,10,0,102
bm25,196,0.5,1.0,0.0625,0.30625,0.44375,1.0,100,10,3,160
bm25,197,1.0,1.0,0.24390243902439024,0.6341463414634146,0.6341463414634146,1.0,100,10,1,41
bm25,198,0.3,0.29299404913960103,0.10416666666666667,0.6041666666666666,0.6458333333333334,0.5,100,10,6,48
bm25,199,0.5,1.0,0.02680965147453083,0.13136729222520108,0.21983914209115282,1.0,100,10,0,373
bm25,200,0.65,0.8208748312783253,0.040983606557377046,0.20081967213114754,0.319672131147541,1.0,100,10,1,244
bm25,201,0.5,1.0,0.10204081632653061,0.4897959183673469,0.5204081632653061,1.0,100,10,2,98
bm25,202,,,0.0,0.0,0.0,,100,0,100,83
bm25,203,0.75,1.0,0.12048192771084337,0.6024096385542169,0.7951807228915663,1.0,100,10,0,83
bm25,204,0.35,0.43082786324968275,0.034482758620689655,0.25287356321839083,0.3793103448275862,0.6,100,10,2,174
bm25,205,0.85,0.8721842533917588,0.10752688172043011,0.5376344086021505,0.8602150537634409,1.0,100,10,0,93
bm25,206,0.6,1.0,0.1694915254237288,0.847457627118644,0.8813559322033898,1.0,100,10,0,59
bm25,207,,,0.0,0.0,0.0,,100,0,100,34
bm25,208,0.5,1.0,0.0847457627118644,0.423728813559322,0.5169491525423728,1.0,100,10,0,118
bm25,209,0.5,1.0,0.07936507936507936,0.15873015873015872,0.15873015873015872,1.0,100,10,39,126
bm25,210,0.8,0.8217352313024029,0.009615384615384616,0.04807692307692308,0.08076923076923077,1.0,100,10,0,1040
bm25,211,0.5,1.0,0.08403361344537816,0.42016806722689076,0.6050420168067226,1.0,100,10,0,119
